timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2024-11-21 10:30:00,5,3952.03,35.76,79.51,35.41,43.87,301.67,412.34,32.93
2024-11-21 11:30:00,5,3685.0,18.78,85.68,87.98,45.78,317.26,423.56,29.89
2024-11-21 12:30:00,5,1295.09,2.37,23.65,188.83,40.05,146.0,184.9,12.29
2024-11-21 13:30:00,5,934.6,1.02,12.17,200.27,30.52,112.81,143.33,10.13
2024-11-21 14:30:00,5,841.14,0.72,10.37,203.13,27.42,99.67,128.21,10.39
2024-11-21 15:30:00,5,1081.47,1.38,23.99,175.95,30.52,99.8,138.23,14.44
2024-11-21 16:30:00,5,1695.63,1.77,56.21,127.32,37.19,121.48,181.21,20.77
2024-11-21 17:30:00,5,2403.26,0.32,94.59,72.24,42.92,147.35,226.65,27.11
2024-11-21 18:30:00,5,3017.43,0.04,124.75,31.11,45.78,176.34,277.99,34.45
2024-11-21 19:30:00,5,3337.86,1.23,134.35,9.83,44.35,201.0,326.05,41.54
2024-11-21 20:30:00,5,3391.27,4.25,124.75,2.7,39.1,214.53,351.1,45.09
2024-11-21 21:30:00,5,3417.97,7.93,112.41,0.85,35.76,227.86,366.88,46.1
2024-11-21 22:30:00,5,3417.97,10.95,102.82,0.31,32.9,234.92,376.39,44.08
2024-11-21 23:30:00,5,3150.94,10.51,94.59,0.28,26.23,220.14,350.2,38.0
2024-11-22 00:30:00,5,2723.69,6.76,87.05,0.63,19.79,195.34,302.94,30.4
2024-11-22 01:30:00,5,2456.67,3.97,80.88,1.26,18.12,184.29,278.61,25.59
2024-11-22 02:30:00,5,2323.15,3.05,75.4,1.5,18.12,181.26,272.56,23.05
2024-11-22 03:30:00,5,2189.64,3.07,68.55,1.4,18.12,178.97,268.64,22.04
2024-11-22 04:30:00,5,2109.53,3.91,63.06,0.91,18.6,180.87,270.07,20.52
2024-11-22 05:30:00,5,2216.34,6.54,61.01,0.33,20.5,189.41,280.01,19.76
2024-11-22 06:30:00,5,2483.37,13.97,60.32,0.04,24.08,207.02,306.7,20.01
2024-11-22 07:30:00,5,3097.53,30.85,60.32,0.06,29.56,240.33,363.76,24.32
2024-11-22 08:30:00,5,3738.4,50.07,61.01,1.88,34.33,267.23,406.96,30.91
2024-11-22 09:30:00,5,3898.62,54.09,65.12,8.67,41.01,274.52,406.33,37.49
2024-11-22 10:30:00,5,4005.43,42.47,80.88,24.68,47.21,286.28,416.0,38.0
2024-11-22 11:30:00,5,3845.21,23.92,94.59,63.66,50.54,299.69,427.31,34.45
