latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,source_file
29.68361,75.74773,341.35,0.6,0.7,2024-10-31,07:03,N,nominal,2.0NRT,301.79,9.29,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.70442,75.77371,333.23,0.59,0.7,2024-10-31,07:03,N,nominal,2.0NRT,301.42,3.91,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.78864,76.01203,339.39,0.57,0.69,2024-10-31,07:03,N,nominal,2.0NRT,301.74,6.54,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.78863,75.98634,343.07,0.57,0.69,2024-10-31,07:03,N,nominal,2.0NRT,301.86,5.03,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.68293,75.7456,345.83,0.6,0.7,2024-10-31,07:03,N,nominal,2.0NRT,302.47,9.06,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.70394,75.77158,335.69,0.59,0.7,2024-10-31,07:03,N,nominal,2.0NRT,301.83,4.57,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.78958,76.00925,344.75,0.57,0.69,2024-10-31,07:03,N,nominal,2.0NRT,302.72,6.01,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.93849,76.53718,367.0,0.53,0.67,2024-10-31,07:03,N,high,2.0NRT,301.79,11.09,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.78943,75.98365,333.12,0.57,0.69,2024-10-31,07:03,N,nominal,2.0NRT,301.43,6.05,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.65206,75.91079,367.0,0.58,0.7,2024-10-31,07:03,N,high,2.0NRT,302.36,11.51,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.61624,75.25076,336.02,0.64,0.72,2024-10-31,07:03,N,nominal,2.0NRT,301.0,3.44,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.65195,75.91029,356.72,0.58,0.7,2024-10-31,07:03,N,nominal,2.0NRT,301.73,8.72,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.57659,76.18715,339.12,0.57,0.69,2024-10-31,07:03,N,nominal,2.0NRT,300.5,4.85,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.32084,75.90857,338.41,0.6,0.7,2024-10-31,07:03,N,nominal,2.0NRT,300.23,5.37,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.347,75.77345,340.54,0.57,0.69,2024-10-31,07:05,N,nominal,2.0NRT,300.4,5.26,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.72048,75.48514,331.57,0.61,0.71,2024-10-31,07:05,N,nominal,2.0NRT,300.31,3.1,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.7757,75.43103,353.52,0.62,0.71,2024-10-31,07:05,N,nominal,2.0NRT,300.83,14.07,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.78506,75.33694,333.16,0.62,0.72,2024-10-31,07:05,N,nominal,2.0NRT,301.02,3.45,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.95572,75.89005,332.06,0.58,0.69,2024-10-31,07:05,N,nominal,2.0NRT,301.21,2.73,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.79546,75.2198,343.08,0.63,0.72,2024-10-31,07:05,N,nominal,2.0NRT,302.84,6.94,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.95632,75.88645,336.9,0.58,0.69,2024-10-31,07:05,N,nominal,2.0NRT,301.65,3.32,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.87529,75.44108,338.46,0.61,0.71,2024-10-31,07:05,N,nominal,2.0NRT,300.78,10.59,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
29.82772,75.14107,339.39,0.64,0.72,2024-10-31,07:05,N,nominal,2.0NRT,300.49,6.21,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.03418,75.84619,330.38,0.58,0.69,2024-10-31,07:05,N,nominal,2.0NRT,301.13,6.35,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.03259,75.84026,347.24,0.58,0.7,2024-10-31,07:05,N,nominal,2.0NRT,302.12,6.35,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.22973,76.50633,337.86,0.52,0.67,2024-10-31,07:05,N,nominal,2.0NRT,300.1,2.49,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
