latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
20.36774,99.89589,333.07,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,299.86,1.38,D
19.87277,96.03287,329.36,0.53,0.42,2024-11-23,06:29,N,nominal,2.0NRT,301.81,4.74,D
20.25666,96.91022,331.38,0.47,0.4,2024-11-23,06:29,N,nominal,2.0NRT,301.76,3.8,D
20.9844,101.41237,333.18,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,297.58,4.52,D
21.25966,100.42018,338.28,0.38,0.36,2024-11-23,06:29,N,nominal,2.0NRT,299.08,13.69,D
20.63082,94.73875,337.95,0.41,0.45,2024-11-23,06:29,N,nominal,2.0NRT,300.52,3.72,D
21.93279,101.85472,346.12,0.41,0.37,2024-11-23,06:29,N,nominal,2.0NRT,295.61,10.93,D
22.16933,96.04214,334.01,0.49,0.4,2024-11-23,06:29,N,nominal,2.0NRT,296.58,2.54,D
22.17303,96.04139,346.66,0.49,0.4,2024-11-23,06:29,N,nominal,2.0NRT,297.15,12.17,D
22.24308,96.01904,337.01,0.49,0.4,2024-11-23,06:29,N,nominal,2.0NRT,298.42,6.31,D
22.24763,96.02303,331.63,0.49,0.4,2024-11-23,06:29,N,nominal,2.0NRT,298.82,3.52,D
20.96566,86.00868,329.85,0.69,0.75,2024-11-23,06:29,N,nominal,2.0NRT,290.16,4.93,D
22.96669,95.39582,338.5,0.52,0.41,2024-11-23,06:29,N,nominal,2.0NRT,300.51,4.35,D
20.96604,86.01324,333.32,0.69,0.74,2024-11-23,06:29,N,nominal,2.0NRT,289.79,6.96,D
22.91555,94.04613,328.31,0.41,0.45,2024-11-23,06:29,N,low,2.0NRT,298.48,2.44,D
23.48836,96.59892,332.61,0.45,0.39,2024-11-23,06:29,N,nominal,2.0NRT,298.6,3.22,D
12.66132,101.53905,340.62,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,287.84,3.3,D
13.37693,101.51299,342.86,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,289.15,5.95,D
14.07914,100.40248,332.49,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,289.79,1.08,D
14.38543,100.77328,331.79,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,291.99,2.15,D
14.55706,100.15774,337,0.41,0.37,2024-11-23,06:29,N,nominal,2.0NRT,286.07,5,D
14.67405,100.80334,331.66,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,295.72,2.24,D
14.86396,100.7343,330.36,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,292.28,3.33,D
14.81272,100.2675,331.96,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,282.89,5.1,D
14.81213,100.26378,331.49,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,282.75,4.6,D
14.96064,100.98866,330.77,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,285.16,2.21,D
15.03692,100.87262,346.74,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,291.52,3.85,D
14.99325,100.50645,341.28,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,290.99,2.87,D
15.05924,100.49897,334.86,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,296.49,7.1,D
16.75884,95.97536,341.56,0.4,0.44,2024-11-23,06:29,N,nominal,2.0NRT,286.03,5,D
16.75818,95.97165,332.26,0.4,0.44,2024-11-23,06:29,N,nominal,2.0NRT,283.62,5,D
17.37943,99.59828,330.97,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,298.19,2.54,D
16.99166,96.79823,330.05,0.53,0.42,2024-11-23,06:29,N,nominal,2.0NRT,298.83,3.06,D
17.54118,100.09014,332.32,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,303.38,3.44,D
17.54061,100.08646,335.41,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,302.8,2.75,D
16.9955,96.79751,330.9,0.53,0.42,2024-11-23,06:29,N,nominal,2.0NRT,298.07,3.06,D
17.54511,100.09325,335.94,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,302.33,4.32,D
17.61906,100.54582,329.66,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,297.47,2.47,D
17.54845,100.09268,347,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,302.76,4.32,D
17.55871,100.13625,335.8,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,298.81,2.09,D
17.09483,97.10055,339.17,0.51,0.41,2024-11-23,06:29,N,nominal,2.0NRT,296.3,5.39,D
17.09493,97.10244,334.76,0.51,0.41,2024-11-23,06:29,N,nominal,2.0NRT,294.52,6.54,D
17.55351,99.72208,332.06,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,299.7,3.91,D
17.12675,97.10635,333.03,0.51,0.41,2024-11-23,06:29,N,nominal,2.0NRT,298.54,2.8,D
17.16036,97.1881,326.94,0.5,0.41,2024-11-23,06:29,N,low,2.0NRT,297.2,3.34,D
17.15921,97.15907,331.21,0.5,0.41,2024-11-23,06:29,N,nominal,2.0NRT,295.55,2.07,D
17.14935,97.10211,335.24,0.51,0.41,2024-11-23,06:29,N,nominal,2.0NRT,297.89,3.44,D
17.16819,97.09859,327.81,0.51,0.41,2024-11-23,06:29,N,low,2.0NRT,299.62,1.96,D
17.68481,100.2049,337.47,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,302.32,2.5,D
17.67966,100.17189,333.07,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,302.65,2.2,D
17.683,100.17133,334.05,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,300.98,2.2,D
17.67669,100.13094,346.33,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,300.65,6.3,D
17.19752,97.08819,327.91,0.51,0.41,2024-11-23,06:29,N,nominal,2.0NRT,299.29,1.16,D
17.19633,97.08532,331,0.51,0.41,2024-11-23,06:29,N,nominal,2.0NRT,299.18,1.93,D
17.22775,97.02018,338.37,0.51,0.41,2024-11-23,06:29,N,nominal,2.0NRT,299.69,4.02,D
15.10546,100.4423,333.67,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,294.62,4.31,D
15.13704,100.48977,347.81,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,294.04,7.96,D
15.12187,100.10442,335.42,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,296.3,2.12,D
15.16487,100.26534,346.35,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,293.4,11.41,D
15.14898,100.09985,334.43,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,297.09,3.77,D
15.20099,100.38442,335.23,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,294.81,2.06,D
15.30088,100.43925,346.17,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,296.95,10.39,D
15.36308,100.6165,340.73,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,297.16,3.88,D
15.38409,100.12867,332.28,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,293.57,2.62,D
15.49305,100.437,332.06,0.39,0.37,2024-11-23,06:29,N,nominal,2.0NRT,291.16,1.21,D
15.68877,100.13067,331.59,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,298.82,1.65,D
15.74029,100.39106,336.92,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,297.57,3.24,D
15.75695,100.36565,346.47,0.39,0.37,2024-11-23,06:29,N,nominal,2.0NRT,299.27,5.39,D
15.75637,100.36198,332.39,0.39,0.37,2024-11-23,06:29,N,nominal,2.0NRT,298.17,2.04,D
15.72779,100.07056,334.61,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,298.17,4.96,D
15.82485,100.37271,338.13,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,297.7,6.13,D
15.97867,101.20839,339.97,0.38,0.36,2024-11-23,06:29,N,nominal,2.0NRT,301.73,3.34,D
15.93471,100.00887,337.55,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,297.75,4.5,D
16.09323,100.76838,334.08,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,296.75,3.11,D
16.29428,101.9763,337.74,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,300.03,3.81,D
16.11807,100.70856,332.56,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,298.31,2.22,D
16.31916,101.9834,336.16,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,297.75,2.85,D
16.31008,101.89997,338.34,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,297.49,3.85,D
16.03982,100.14341,333.27,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,292.96,2.79,D
16.13421,100.51172,341.37,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,294.66,2.36,D
16.11172,100.36924,334.81,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,295.4,1.99,D
16.23606,100.36295,331.61,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,298.22,2.93,D
16.20392,100.07319,335.75,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,293.97,3.82,D
15.86144,97.79508,334.35,0.49,0.4,2024-11-23,06:29,N,nominal,2.0NRT,298.72,3.44,D
16.27472,100.17142,331.04,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,297.42,1.5,D
16.33597,100.54098,333.34,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,302.94,2.56,D
16.2848,100.16972,335.65,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,297.62,3.67,D
16.36341,100.62959,337.22,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,299.29,2.87,D
16.35355,100.35418,332.48,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,298.09,7.37,D
16.42921,100.6406,334.96,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,299.31,3.48,D
16.40247,100.44725,332.04,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,297.47,1.33,D
16.32821,99.8449,333.5,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,298.13,3.45,D
16.51357,100.68604,334.76,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,297.48,3.49,D
16.50939,100.41813,344.54,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,298.45,4.04,D
16.57113,100.40366,336.55,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,298.03,3.09,D
16.50835,99.83349,340.63,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,301.48,3.58,D
16.62503,100.52926,330.29,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,297.99,2.85,D
16.59364,100.02199,332.76,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,296.96,3.63,D
16.67015,100.36777,339.97,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,299.88,2.97,D
16.65051,100.24322,344.84,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,301.14,6.05,D
16.698,100.50156,330.71,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,299.82,1.52,D
16.7013,100.23837,342.88,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,297.9,6.73,D
16.71385,100.29652,334.54,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,299.65,3.27,D
16.71317,100.27029,334.39,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,301.76,4.6,D
16.89344,99.95142,338.2,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,298.2,4.49,D
16.9288,100.1543,334.23,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,299.86,2.86,D
17.08988,100.79965,330.53,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,300.02,2.72,D
17.02247,100.30016,334.34,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,299.79,6.96,D
17.0047,99.92452,333.66,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,298.64,2.75,D
17.07841,100.23009,334.7,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,300.85,2.66,D
17.12305,100.03343,338.32,0.39,0.37,2024-11-23,06:29,N,nominal,2.0NRT,299.79,3.67,D
17.12818,99.95644,340.56,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,299.3,2.78,D
17.12973,99.95602,341.04,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,301.2,3.85,D
16.73345,97.38541,335.99,0.5,0.41,2024-11-23,06:29,N,nominal,2.0NRT,300.09,4.45,D
17.38588,101.1638,330.47,0.38,0.36,2024-11-23,06:29,N,nominal,2.0NRT,294.28,2.08,D
17.16179,99.70132,336.5,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,295.88,2.23,D
16.6813,96.62991,336.8,0.55,0.43,2024-11-23,06:29,N,nominal,2.0NRT,283.6,5.83,D
17.25369,100.03394,341.73,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,300.04,5.94,D
16.68044,96.62817,332.45,0.55,0.43,2024-11-23,06:29,N,nominal,2.0NRT,282.87,6.23,D
17.30787,99.56412,334.5,0.4,0.37,2024-11-23,06:29,N,nominal,2.0NRT,295.91,3.15,D
17.41164,100.15048,337.44,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,296.95,5.8,D
20.23451,99.95361,326.07,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,299.21,2,D
20.26275,99.96003,325.01,0.39,0.36,2024-11-23,06:29,N,low,2.0NRT,296.95,1.07,D
19.65837,96.22539,328.4,0.52,0.42,2024-11-23,06:29,N,nominal,2.0NRT,298.11,5.05,D
19.69643,96.21791,334.62,0.52,0.42,2024-11-23,06:29,N,nominal,2.0NRT,302.3,6.58,D
20.31946,99.58575,336.03,0.39,0.36,2024-11-23,06:29,N,nominal,2.0NRT,296.38,3.31,D
17.96585,96.53266,334.3,0.53,0.42,2024-11-23,06:31,N,nominal,2.0NRT,301.3,4.37,D
17.99066,96.63048,332.55,0.52,0.42,2024-11-23,06:31,N,nominal,2.0NRT,301.69,4.03,D
17.97836,96.64001,338.03,0.52,0.42,2024-11-23,06:31,N,nominal,2.0NRT,297.9,2.71,D
17.98805,96.62799,329.6,0.52,0.42,2024-11-23,06:31,N,low,2.0NRT,301.34,3.25,D
17.25982,96.93446,326.64,0.52,0.41,2024-11-23,06:31,N,low,2.0NRT,296.84,1.82,D
17.25104,96.86066,344.57,0.52,0.42,2024-11-23,06:31,N,nominal,2.0NRT,298.45,12.42,D
17.30477,96.83833,336.3,0.52,0.42,2024-11-23,06:31,N,nominal,2.0NRT,298.47,4.49,D
17.3124,96.83689,331.52,0.52,0.42,2024-11-23,06:31,N,nominal,2.0NRT,299.51,4.39,D
17.30192,96.73193,332.91,0.53,0.42,2024-11-23,06:31,N,nominal,2.0NRT,299.13,2.99,D
17.33404,96.89328,326.44,0.52,0.41,2024-11-23,06:31,N,low,2.0NRT,296.8,0.73,D
17.33953,96.90228,344.72,0.52,0.41,2024-11-23,06:31,N,nominal,2.0NRT,300.17,7,D
17.32252,96.80458,327.74,0.52,0.42,2024-11-23,06:31,N,low,2.0NRT,299.31,5.32,D
17.36953,96.8715,327.6,0.52,0.41,2024-11-23,06:31,N,nominal,2.0NRT,294.18,3.72,D
17.98303,96.57787,331.28,0.53,0.42,2024-11-23,06:31,N,low,2.0NRT,301.6,3.72,D
18.00126,96.63565,327.65,0.52,0.42,2024-11-23,06:31,N,low,2.0NRT,301.23,2.87,D
17.99865,96.55437,328.82,0.53,0.42,2024-11-23,06:31,N,low,2.0NRT,300.81,2.14,D
18.00953,96.59331,333.27,0.53,0.42,2024-11-23,06:31,N,nominal,2.0NRT,301.37,8.83,D
18.00865,96.58835,333.05,0.53,0.42,2024-11-23,06:31,N,nominal,2.0NRT,301.14,7.17,D
18.01248,96.58762,337.58,0.53,0.42,2024-11-23,06:31,N,nominal,2.0NRT,301.46,7.17,D
18.03317,96.66,328.55,0.52,0.42,2024-11-23,06:31,N,nominal,2.0NRT,300.82,2.49,D
18.05802,96.59934,340.97,0.53,0.42,2024-11-23,06:31,N,nominal,2.0NRT,301.25,5.67,D
18.07763,96.6667,326.96,0.52,0.42,2024-11-23,06:31,N,low,2.0NRT,301.27,2.14,D
18.09159,96.67921,332.14,0.52,0.41,2024-11-23,06:31,N,nominal,2.0NRT,301.68,3.07,D
18.54444,99.05751,330.21,0.41,0.37,2024-11-23,06:31,N,nominal,2.0NRT,298.89,2.23,D
18.53677,98.37433,328.02,0.43,0.38,2024-11-23,06:31,N,nominal,2.0NRT,299.06,2.98,D
18.73561,99.57381,336.14,0.4,0.37,2024-11-23,06:31,N,nominal,2.0NRT,302.82,6.53,D
19.0005,100.79739,332.54,0.38,0.36,2024-11-23,06:31,N,nominal,2.0NRT,298.3,3.23,D
18.3255,96.58083,329.44,0.52,0.42,2024-11-23,06:31,N,low,2.0NRT,300.31,2.94,D
19.24099,101.68786,327.47,0.39,0.36,2024-11-23,06:31,N,low,2.0NRT,299.82,6.22,D
19.2793,100.87303,333.83,0.38,0.36,2024-11-23,06:31,N,nominal,2.0NRT,299.48,1.61,D
19.11613,99.61795,327.32,0.39,0.36,2024-11-23,06:31,N,low,2.0NRT,299.17,2.73,D
19.08463,99.17527,330,0.4,0.37,2024-11-23,06:31,N,low,2.0NRT,301.1,4.25,D
19.08047,98.84785,325.8,0.41,0.37,2024-11-23,06:31,N,nominal,2.0NRT,296.59,1.24,D
19.39473,100.12294,327.12,0.39,0.36,2024-11-23,06:31,N,low,2.0NRT,300.2,2.41,D
19.40752,100.13954,327.06,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,296.57,1.04,D
19.44203,100.14809,335.47,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,300.71,2.16,D
19.47388,100.0899,338.49,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,301.92,5.17,D
19.47309,99.73434,327.69,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,299.22,1.46,D
19.53697,99.97309,330.94,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,299.49,1.83,D
19.50657,99.73584,346.44,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,298.78,6.55,D
19.50932,99.73155,328,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,297.83,6.55,D
19.5454,99.72144,328.45,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,298.94,1.82,D
19.67418,100.50951,336.86,0.38,0.36,2024-11-23,06:31,N,nominal,2.0NRT,301.16,3.98,D
19.5729,99.85336,328.36,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,300.51,2.26,D
19.62239,99.71971,330.56,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,298.36,1.01,D
19.63139,99.73335,342.66,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,298.92,4.06,D
19.80433,100.21323,331.93,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,301.8,1.66,D
19.79725,99.96954,328.22,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,297.95,2.3,D
20.08669,101.41902,333.94,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,303.73,3.18,D
19.88126,99.94709,330.34,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,299.81,2.04,D
19.90347,99.95836,340.83,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,302.19,4.03,D
20.02823,100.01965,329.98,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,298.75,2.4,D
20.17713,100.39644,331,0.38,0.36,2024-11-23,06:31,N,nominal,2.0NRT,297.58,2.43,D
20.04513,99.34966,341.05,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,299.81,4.84,D
17.36197,96.82752,339.29,0.52,0.42,2024-11-23,06:31,N,nominal,2.0NRT,297.61,7.48,D
17.36824,96.87373,330.19,0.52,0.41,2024-11-23,06:31,N,nominal,2.0NRT,294.67,3.84,D
17.37377,96.88273,333.86,0.52,0.41,2024-11-23,06:31,N,nominal,2.0NRT,294.81,5.19,D
17.36334,96.82426,340.79,0.52,0.42,2024-11-23,06:31,N,nominal,2.0NRT,297.39,7.25,D
17.32881,96.54235,335.02,0.54,0.42,2024-11-23,06:31,N,nominal,2.0NRT,300.86,3.88,D
17.22556,95.85728,350.68,0.4,0.44,2024-11-23,06:31,N,nominal,2.0NRT,295.73,8.89,D
17.37856,96.64232,327.36,0.53,0.42,2024-11-23,06:31,N,low,2.0NRT,300.24,1.53,D
17.3833,96.6466,331.34,0.53,0.42,2024-11-23,06:31,N,nominal,2.0NRT,299.93,2.14,D
17.37145,96.53424,327.69,0.54,0.42,2024-11-23,06:31,N,low,2.0NRT,300.45,2.72,D
23.09678,94.07683,327.04,0.4,0.44,2024-11-23,06:31,N,low,2.0NRT,301.02,1.99,D
23.37033,94.03691,330.95,0.4,0.44,2024-11-23,06:31,N,nominal,2.0NRT,297.08,8.12,D
23.37438,94.03602,344.85,0.4,0.44,2024-11-23,06:31,N,nominal,2.0NRT,298.47,8.12,D
24.63565,98.28489,330.85,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,287.65,5.33,D
22.68486,87.54332,325.98,0.51,0.66,2024-11-23,06:31,N,nominal,2.0NRT,294.18,3,D
22.77856,87.42381,327.6,0.52,0.67,2024-11-23,06:31,N,nominal,2.0NRT,295.74,4.82,D
24.15259,91.32082,338.6,0.56,0.52,2024-11-23,06:31,N,nominal,2.0NRT,298.52,5.46,D
24.15145,91.31532,325.97,0.56,0.52,2024-11-23,06:31,N,low,2.0NRT,299.26,5.46,D
24.15205,91.31828,345.9,0.56,0.52,2024-11-23,06:31,N,nominal,2.0NRT,299.52,8.75,D
24.16507,91.23947,327.3,0.57,0.52,2024-11-23,06:31,N,nominal,2.0NRT,295.2,1.96,D
23.48154,87.83089,327.26,0.48,0.64,2024-11-23,06:31,N,nominal,2.0NRT,294.91,2.85,D
23.48523,87.8313,330.38,0.47,0.64,2024-11-23,06:31,N,nominal,2.0NRT,295.34,2.86,D
26.56629,101.67133,327.13,0.43,0.38,2024-11-23,06:31,N,low,2.0NRT,301,5.45,D
26.56643,101.67281,328.12,0.43,0.38,2024-11-23,06:31,N,low,2.0NRT,300.8,4.78,D
26.57638,101.66668,340.44,0.43,0.38,2024-11-23,06:31,N,nominal,2.0NRT,303.39,5.22,D
26.53806,94.85291,327.46,0.49,0.4,2024-11-23,06:31,N,nominal,2.0NRT,289.38,3.28,D
25.6911,88.12993,326.34,0.41,0.61,2024-11-23,06:31,N,nominal,2.0NRT,291.25,2.47,D
26.74986,91.19582,329.61,0.51,0.49,2024-11-23,06:31,N,nominal,2.0NRT,294.99,3.45,D
18.3997,100.12656,335.2,0.39,0.36,2024-11-23,06:31,N,nominal,2.0NRT,299.91,2.26,D
18.40303,100.12598,329.8,0.39,0.36,2024-11-23,06:31,N,low,2.0NRT,301.28,2.84,D
17.92585,96.79926,326.93,0.51,0.41,2024-11-23,06:31,N,low,2.0NRT,299.22,1.89,D
18.12847,97.92406,326.76,0.45,0.39,2024-11-23,06:31,N,low,2.0NRT,300.36,2.16,D
17.91722,96.6394,327.27,0.52,0.42,2024-11-23,06:31,N,low,2.0NRT,299.37,2.34,D
