latitude,longitude,acq_date,acq_time,frp
29.68361,75.74773,2024-10-31,07:03,9.29
29.70442,75.77371,2024-10-31,07:03,3.91
29.78864,76.01203,2024-10-31,07:03,6.54
29.78863,75.98634,2024-10-31,07:03,5.03
29.68293,75.7456,2024-10-31,07:03,9.06
29.70394,75.77158,2024-10-31,07:03,4.57
29.78958,76.00925,2024-10-31,07:03,6.01
29.93849,76.53718,2024-10-31,07:03,11.09
29.78943,75.98365,2024-10-31,07:03,6.05
29.65206,75.91079,2024-10-31,07:03,11.51
29.61624,75.25076,2024-10-31,07:03,3.44
29.65195,75.91029,2024-10-31,07:03,8.72
29.57659,76.18715,2024-10-31,07:03,4.85
29.32084,75.90857,2024-10-31,07:03,5.37
30.347,75.77345,2024-10-31,07:05,5.26
29.72048,75.48514,2024-10-31,07:05,3.1
29.7757,75.43103,2024-10-31,07:05,14.07
29.78506,75.33694,2024-10-31,07:05,3.45
29.95572,75.89005,2024-10-31,07:05,2.73
29.79546,75.2198,2024-10-31,07:05,6.94
29.95632,75.88645,2024-10-31,07:05,3.32
29.87529,75.44108,2024-10-31,07:05,10.59
29.82772,75.14107,2024-10-31,07:05,6.21
30.03418,75.84619,2024-10-31,07:05,6.35
30.03259,75.84026,2024-10-31,07:05,6.35
30.22973,76.50633,2024-10-31,07:05,2.49
30.03529,75.77405,2024-10-31,07:05,6.98
30.03472,75.69522,2024-10-31,07:05,11.32
30.2407,76.47301,2024-10-31,07:05,4.92
30.03404,75.84365,2024-10-31,07:05,12.04
30.0348,75.77182,2024-10-31,07:05,4.42
30.03316,75.76585,2024-10-31,07:05,4.42
30.24427,76.46893,2024-10-31,07:05,2.34
30.03382,75.69327,2024-10-31,07:05,7.46
30.0835,75.77431,2024-10-31,07:05,3.99
30.25658,76.26719,2024-10-31,07:05,6.67
30.37107,76.65193,2024-10-31,07:05,6.55
30.22566,76.05025,2024-10-31,07:05,6.19
30.27689,76.19308,2024-10-31,07:05,4.71
30.14564,75.69982,2024-10-31,07:05,6.67
30.28298,76.19094,2024-10-31,07:05,4.71
30.27411,76.15728,2024-10-31,07:05,4.32
30.37145,76.65173,2024-10-31,07:05,5.21
30.22256,76.05201,2024-10-31,07:05,7.86
30.28076,76.19233,2024-10-31,07:05,10.95
30.27169,76.1588,2024-10-31,07:05,5.6
30.14677,75.70065,2024-10-31,07:05,4.98
